dateP,P_mm,Q_m3s
2021-08-03 13:39:00,0.5,
2021-08-03 13:44:00,0.0,
2021-08-03 13:49:00,0.0,
2021-08-03 13:54:00,0.0,
2021-08-03 13:59:00,0.0,
2021-08-03 14:04:00,0.0,0.00371842778053486
2021-08-03 14:09:00,0.0,
2021-08-03 14:14:00,0.0,
2021-08-03 14:19:00,0.0,
2021-08-03 14:24:00,0.0,
2021-08-03 14:29:00,0.0,
2021-08-03 14:34:00,0.0,
2021-08-03 14:39:00,0.0,
2021-08-03 14:44:00,1.0,
2021-08-03 14:49:00,0.0,
2021-08-03 14:54:00,0.0,
2021-08-03 14:59:00,0.0,
2021-08-03 15:04:00,0.0,0.00378822049692175
2021-08-03 15:09:00,0.0,
2021-08-03 15:14:00,0.0,
2021-08-03 15:19:00,0.0,
2021-08-03 15:24:00,0.0,
2021-08-03 15:29:00,0.0,
2021-08-03 15:34:00,0.0,
2021-08-03 15:39:00,0.0,0.00364957749536742
2021-08-03 15:44:00,0.0,
2021-08-03 15:49:00,0.0,
2021-08-03 15:54:00,0.0,
2021-08-03 15:59:00,0.0,
2021-08-03 16:04:00,0.0,0.00371842778053486
2021-08-03 16:09:00,0.0,
2021-08-03 16:14:00,0.0,
2021-08-03 16:19:00,0.0,
2021-08-03 16:24:00,0.0,
2021-08-03 16:29:00,0.0,
2021-08-03 16:34:00,0.0,
2021-08-03 16:39:00,0.0,
2021-08-03 16:44:00,0.0,
2021-08-03 16:49:00,0.0,
2021-08-03 16:54:00,0.0,
2021-08-03 16:59:00,0.0,
2021-08-03 17:04:00,0.0,0.00364957749536742
2021-08-03 17:09:00,0.0,
2021-08-03 17:14:00,0.0,
2021-08-03 17:19:00,0.0,
2021-08-03 17:24:00,0.0,
2021-08-03 17:29:00,0.0,
2021-08-03 17:34:00,0.0,
2021-08-03 17:39:00,0.0,
2021-08-03 17:44:00,0.0,0.00378822049692175
2021-08-03 17:49:00,0.0,
2021-08-03 17:54:00,0.0,
2021-08-03 17:59:00,0.0,
2021-08-03 18:04:00,0.0,0.00364957749536742
2021-08-03 18:09:00,0.0,
2021-08-03 18:14:00,0.0,
2021-08-03 18:19:00,0.0,
2021-08-03 18:24:00,0.5,
2021-08-03 18:29:00,0.0,
2021-08-03 18:34:00,0.0,
2021-08-03 18:39:00,0.0,
2021-08-03 18:44:00,0.0,
2021-08-03 18:49:00,0.0,
2021-08-03 18:54:00,0.0,0.00378822049692175
2021-08-03 18:59:00,0.0,
2021-08-03 19:04:00,0.0,0.00378822049692175
2021-08-03 19:09:00,0.0,
2021-08-03 19:14:00,0.0,
2021-08-03 19:19:00,0.0,
2021-08-03 19:24:00,0.0,0.00364957749536742
