date;P_mm;Q_inf_LH;Q_ruiss_LH
2023-11-24 22:54:00;0.0;0.0;0.0
2023-11-24 22:56:00;0.0;1.2;0.0
2023-11-24 22:58:00;0.0;0.0;0.0
2023-11-24 23:00:00;0.0;1.2;0.0
2023-11-24 23:02:00;0.0;0.0;0.0
2023-11-24 23:04:00;0.0;1.2;0.0
2023-11-24 23:06:00;0.0;1.2;0.0
2023-11-24 23:08:00;0.0;0.0;0.0
2023-11-24 23:10:00;0.0;1.2;0.0
2023-11-24 23:12:00;0.0;0.0;0.0
2023-11-24 23:14:00;0.0;1.2;0.0
2023-11-24 23:16:00;0.0;0.0;0.0
2023-11-24 23:18:00;0.0;1.2;0.0
2023-11-24 23:20:00;0.0;0.0;0.0
2023-11-24 23:22:00;0.0;1.2;0.0
2023-11-24 23:24:00;0.0;0.0;0.0
2023-11-24 23:26:00;0.0;1.2;0.0
2023-11-24 23:28:00;0.0;0.0;0.0
2023-11-24 23:30:00;0.0;1.2;0.0
2023-11-24 23:32:00;0.0;0.0;0.0
2023-11-24 23:34:00;0.0;1.2;0.0
2023-11-24 23:36:00;0.0;0.0;0.0
2023-11-24 23:38:00;0.0;1.2;0.0
2023-11-24 23:40:00;0.0;0.0;0.0
2023-11-24 23:42:00;0.0;1.2;0.0
2023-11-24 23:44:00;0.0;0.0;0.0
2023-11-24 23:46:00;0.0;1.2;0.0
2023-11-24 23:48:00;0.0;0.0;0.0
2023-11-24 23:50:00;0.0;1.2;0.0
2023-11-24 23:52:00;0.0;0.0;0.0
2023-11-24 23:54:00;0.0;1.2;0.0
2023-11-24 23:56:00;0.0;0.0;0.0
2023-11-24 23:58:00;0.0;1.2;0.0
2023-11-25 00:00:00;0.0;0.0;0.0
2023-11-25 00:02:00;0.0;0.0;0.0
2023-11-25 00:04:00;0.0;1.2;0.0
2023-11-25 00:06:00;0.0;0.0;0.0
2023-11-25 00:08:00;0.0;1.2;0.0
2023-11-25 00:10:00;0.0;0.0;0.0
2023-11-25 00:12:00;0.0;1.2;0.0
2023-11-25 00:14:00;0.0;0.0;0.0
2023-11-25 00:16:00;0.0;0.0;0.0
2023-11-25 00:18:00;0.0;1.2;0.0
2023-11-25 00:20:00;0.0;0.0;0.0
2023-11-25 00:22:00;0.0;1.2;0.0
2023-11-25 00:24:00;0.0;0.0;0.0
2023-11-25 00:26:00;0.0;0.0;0.0
2023-11-25 00:28:00;0.0;1.2;0.0
2023-11-25 00:30:00;0.0;0.0;0.0
2023-11-25 00:32:00;0.0;1.2;0.0
2023-11-25 00:34:00;0.0;0.0;0.0
2023-11-25 00:36:00;0.0;0.0;0.0
2023-11-25 00:38:00;0.0;1.2;0.0
2023-11-25 00:40:00;0.0;0.0;0.0
2023-11-25 00:42:00;0.0;0.0;0.0
2023-11-25 00:44:00;0.0;1.2;0.0
2023-11-25 00:46:00;0.0;0.0;0.0
2023-11-25 00:48:00;0.0;1.2;0.0
2023-11-25 00:50:00;0.0;0.0;0.0
2023-11-25 00:52:00;0.0;0.0;0.0
2023-11-25 00:54:00;0.0;1.2;0.0
2023-11-25 00:56:00;0.0;0.0;0.0
2023-11-25 00:58:00;0.0;0.0;0.0
2023-11-25 01:00:00;0.0;1.2;0.0
2023-11-25 01:02:00;0.0;0.0;0.0
2023-11-25 01:04:00;0.0;0.0;0.0
2023-11-25 01:06:00;0.0;0.0;0.0
2023-11-25 01:08:00;0.0;1.2;0.0
2023-11-25 01:10:00;0.0;0.0;0.0
2023-11-25 01:12:00;0.0;0.0;0.0
2023-11-25 01:14:00;0.0;1.2;0.0
2023-11-25 01:16:00;0.0;0.0;0.0
2023-11-25 01:18:00;0.0;0.0;0.0
2023-11-25 01:20:00;0.0;1.2;0.0
2023-11-25 01:22:00;0.0;0.0;0.0
2023-11-25 01:24:00;0.0;0.0;0.0
2023-11-25 01:26:00;0.0;1.2;0.0
2023-11-25 01:28:00;0.0;0.0;0.0
2023-11-25 01:30:00;0.0;0.0;0.0
2023-11-25 01:32:00;0.0;0.0;0.0
2023-11-25 01:34:00;0.0;1.2;0.0
2023-11-25 01:36:00;0.0;0.0;0.0
2023-11-25 01:38:00;0.0;0.0;0.0
2023-11-25 01:40:00;0.0;0.0;0.0
2023-11-25 01:42:00;0.0;1.2;0.0
2023-11-25 01:44:00;0.0;0.0;0.0
2023-11-25 01:46:00;0.0;0.0;0.0
2023-11-25 01:48:00;0.0;0.0;0.0
2023-11-25 01:50:00;0.0;0.0;0.0
2023-11-25 01:52:00;0.0;1.2;0.0
2023-11-25 01:54:00;0.0;0.0;0.0
2023-11-25 01:56:00;0.0;0.0;0.0
2023-11-25 01:58:00;0.0;0.0;0.0
2023-11-25 02:00:00;0.0;1.2;0.0
2023-11-25 02:02:00;0.0;0.0;0.0
2023-11-25 02:04:00;0.0;0.0;0.0
2023-11-25 02:06:00;0.0;0.0;0.0
2023-11-25 02:08:00;0.0;0.0;0.0
2023-11-25 02:10:00;0.0;1.2;0.0
2023-11-25 02:12:00;0.0;0.0;0.0
2023-11-25 02:14:00;0.0;0.0;0.0
2023-11-25 02:16:00;0.0;0.0;0.0
2023-11-25 02:18:00;0.0;0.0;0.0
2023-11-25 02:20:00;0.0;1.2;0.0
2023-11-25 02:22:00;0.0;0.0;0.0
2023-11-25 02:24:00;0.0;0.0;0.0
2023-11-25 02:26:00;0.0;0.0;0.0
2023-11-25 02:28:00;0.0;0.0;0.0
2023-11-25 02:30:00;0.0;1.2;0.0
2023-11-25 02:32:00;0.0;0.0;0.0
2023-11-25 02:34:00;0.0;0.0;0.0
2023-11-25 02:36:00;0.0;0.0;0.0
2023-11-25 02:38:00;0.0;0.0;0.0
2023-11-25 02:40:00;0.0;0.0;0.0
2023-11-25 02:42:00;0.0;1.2;0.0
2023-11-25 02:44:00;0.0;0.0;0.0
2023-11-25 02:46:00;0.0;0.0;0.0
2023-11-25 02:48:00;0.0;0.0;0.0
2023-11-25 02:50:00;0.0;0.0;0.0
2023-11-25 02:52:00;0.0;0.0;0.0
2023-11-25 02:54:00;0.0;1.2;0.0
2023-11-25 02:56:00;0.0;0.0;0.0
2023-11-25 02:58:00;0.0;0.0;0.0
2023-11-25 03:00:00;0.0;0.0;0.0
2023-11-25 03:02:00;0.0;0.0;0.0
2023-11-25 03:04:00;0.0;0.0;0.0
2023-11-25 03:06:00;0.0;0.0;0.0
2023-11-25 03:08:00;0.0;1.2;0.0
2023-11-25 03:10:00;0.0;0.0;0.0
2023-11-25 03:12:00;0.0;0.0;0.0
2023-11-25 03:14:00;0.0;0.0;0.0
2023-11-25 03:16:00;0.0;0.0;0.0
2023-11-25 03:18:00;0.0;0.0;0.0
2023-11-25 03:20:00;0.0;0.0;0.0
2023-11-25 03:22:00;0.0;0.0;0.0
2023-11-25 03:24:00;0.0;1.2;0.0
2023-11-25 03:26:00;0.0;0.0;0.0
2023-11-25 03:28:00;0.0;0.0;0.0
2023-11-25 03:30:00;0.0;0.0;0.0
2023-11-25 03:32:00;0.0;0.0;0.0
2023-11-25 03:34:00;0.0;0.0;0.0
2023-11-25 03:36:00;0.0;0.0;0.0
2023-11-25 03:38:00;0.0;0.0;0.0
2023-11-25 03:40:00;0.0;1.2;0.0
2023-11-25 03:42:00;0.0;0.0;0.0
2023-11-25 03:44:00;0.0;0.0;0.0
2023-11-25 03:46:00;0.0;0.0;0.0
2023-11-25 03:48:00;0.0;0.0;0.0
2023-11-25 03:50:00;0.0;0.0;0.0
2023-11-25 03:52:00;0.0;0.0;0.0
2023-11-25 03:54:00;0.0;0.0;0.0
2023-11-25 03:56:00;0.0;1.2;0.0
2023-11-25 03:58:00;0.0;0.0;0.0
2023-11-25 04:00:00;0.0;0.0;0.0
2023-11-25 04:02:00;0.0;0.0;0.0
2023-11-25 04:04:00;0.0;0.0;0.0
2023-11-25 04:06:00;0.0;0.0;0.0
2023-11-25 04:08:00;0.0;0.0;0.0
2023-11-25 04:10:00;0.0;0.0;0.0
2023-11-25 04:12:00;0.0;0.0;0.0
2023-11-25 04:14:00;0.0;0.0;0.0
2023-11-25 04:16:00;0.0;0.0;0.0
2023-11-25 04:18:00;0.0;0.0;0.0
2023-11-25 04:20:00;0.0;1.2;0.0
2023-11-25 04:22:00;0.0;0.0;0.0
2023-11-25 04:24:00;0.0;0.0;0.0
2023-11-25 04:26:00;0.0;0.0;0.0
2023-11-25 04:28:00;0.0;0.0;0.0
2023-11-25 04:30:00;0.0;0.0;0.0
2023-11-25 04:32:00;0.0;0.0;0.0
2023-11-25 04:34:00;0.0;0.0;0.0
2023-11-25 04:36:00;0.0;0.0;0.0
2023-11-25 04:38:00;0.0;0.0;0.0
2023-11-25 04:40:00;0.0;0.0;0.0
2023-11-25 04:42:00;0.0;0.0;0.0
2023-11-25 04:44:00;0.0;0.0;0.0
2023-11-25 04:46:00;0.0;0.0;0.0
2023-11-25 04:48:00;0.0;1.2;0.0
2023-11-25 04:50:00;0.0;0.0;0.0
2023-11-25 04:52:00;0.0;0.0;0.0
2023-11-25 04:54:00;0.0;0.0;0.0
2023-11-25 04:56:00;0.0;0.0;0.0
2023-11-25 04:58:00;0.0;0.0;0.0
2023-11-25 05:00:00;0.0;0.0;0.0
2023-11-25 05:02:00;0.0;0.0;0.0
2023-11-25 05:04:00;0.0;0.0;0.0
2023-11-25 05:06:00;0.0;0.0;0.0
2023-11-25 05:08:00;0.0;0.0;0.0
2023-11-25 05:10:00;0.0;0.0;0.0
2023-11-25 05:12:00;0.0;0.0;0.0
2023-11-25 05:14:00;0.0;0.0;0.0
2023-11-25 05:16:00;0.0;0.0;0.0
2023-11-25 05:18:00;0.0;0.0;0.0
2023-11-25 05:20:00;0.0;0.0;0.0
2023-11-25 05:22:00;0.0;0.0;0.0
2023-11-25 05:24:00;0.0;0.0;0.0
2023-11-25 05:26:00;0.0;0.0;0.0
2023-11-25 05:28:00;0.0;0.0;0.0
2023-11-25 05:30:00;0.0;0.0;0.0
2023-11-25 05:32:00;0.0;0.0;0.0
2023-11-25 05:34:00;0.0;0.0;0.0
2023-11-25 05:36:00;0.0;0.0;0.0
2023-11-25 05:38:00;0.0;0.0;0.0
2023-11-25 05:40:00;0.0;0.0;0.0
2023-11-25 05:42:00;0.0;0.0;0.0
2023-11-25 05:44:00;0.0;0.0;0.0
2023-11-25 05:46:00;0.0;0.0;0.0
2023-11-25 05:48:00;0.0;0.0;0.0
