date;P_mm;Q_inf_LH;Q_ruiss_LH
2024-04-17 22:08:00;0.0;0.0;108.8
2024-04-17 22:10:00;0.0;0.0;94.5
2024-04-17 22:12:00;0.0;0.0;0.0
2024-04-17 22:14:00;0.0;0.0;0.0
2024-04-17 22:16:00;0.249;0.0;0.0
2024-04-17 22:18:00;0.0;0.0;101.2
2024-04-17 22:20:00;0.0;0.0;113.1
2024-04-17 22:22:00;0.249;0.0;130.3
2024-04-17 22:24:00;0.0;0.0;138.0
2024-04-17 22:26:00;0.0;0.0;159.6
2024-04-17 22:28:00;0.249;0.0;201.0
2024-04-17 22:30:00;0.0;0.0;220.8
2024-04-17 22:32:00;0.249;0.0;218.4
2024-04-17 22:34:00;0.0;0.0;219.7
2024-04-17 22:36:00;0.249;0.0;241.8
2024-04-17 22:38:00;0.0;1.2;271.0
2024-04-17 22:40:00;0.249;0.0;269.0
2024-04-17 22:42:00;0.0;1.8;266.4
2024-04-17 22:44:00;0.0;1.2;244.4
2024-04-17 22:46:00;0.0;2.4;189.8
2024-04-17 22:48:00;0.249;2.4;162.3
2024-04-17 22:50:00;0.0;3.0;148.8
2024-04-17 22:52:00;0.0;3.6;135.7
2024-04-17 22:54:00;0.0;3.6;128.2
2024-04-17 22:56:00;0.0;4.2;112.3
2024-04-17 22:58:00;0.249;4.8;95.1
2024-04-17 23:00:00;0.0;4.8;92.6
2024-04-17 23:02:00;0.0;5.4;86.3
2024-04-17 23:04:00;0.0;5.4;0.0
2024-04-17 23:06:00;0.0;6.0;0.0
2024-04-17 23:08:00;0.0;5.4;0.0
2024-04-17 23:10:00;0.0;5.4;0.0
2024-04-17 23:12:00;0.0;6.0;0.0
2024-04-17 23:14:00;0.0;7.8;0.0
2024-04-17 23:16:00;0.0;11.4;0.0
2024-04-17 23:18:00;0.249;14.4;0.0
2024-04-17 23:20:00;0.0;17.4;0.0
2024-04-17 23:22:00;0.0;19.8;0.0
2024-04-17 23:24:00;0.0;22.8;0.0
2024-04-17 23:26:00;0.0;25.8;0.0
2024-04-17 23:28:00;0.0;28.2;0.0
2024-04-17 23:30:00;0.0;29.4;0.0
2024-04-17 23:32:00;0.0;30.0;0.0
2024-04-17 23:34:00;0.0;30.0;0.0
2024-04-17 23:36:00;0.0;31.2;0.0
2024-04-17 23:38:00;0.0;30.0;0.0
2024-04-17 23:40:00;0.0;30.0;0.0
2024-04-17 23:42:00;0.0;30.0;0.0
2024-04-17 23:44:00;0.0;28.8;0.0
2024-04-17 23:46:00;0.0;28.8;0.0
2024-04-17 23:48:00;0.0;28.2;0.0
2024-04-17 23:50:00;0.0;28.2;0.0
2024-04-17 23:52:00;0.0;27.6;0.0
2024-04-17 23:54:00;0.0;27.0;0.0
2024-04-17 23:56:00;0.249;26.4;0.0
2024-04-17 23:58:00;0.0;26.4;0.0
2024-04-18 00:00:00;0.0;25.8;0.0
2024-04-18 00:02:00;0.0;25.8;0.0
2024-04-18 00:04:00;0.0;25.8;0.0
2024-04-18 00:06:00;0.0;24.6;0.0
2024-04-18 00:08:00;0.0;24.6;0.0
2024-04-18 00:10:00;0.0;24.6;0.0
2024-04-18 00:12:00;0.0;24.0;0.0
2024-04-18 00:14:00;0.0;23.4;0.0
2024-04-18 00:16:00;0.0;23.4;0.0
2024-04-18 00:18:00;0.0;23.4;0.0
2024-04-18 00:20:00;0.0;22.8;0.0
2024-04-18 00:22:00;0.0;22.2;0.0
2024-04-18 00:24:00;0.0;21.6;0.0
2024-04-18 00:26:00;0.0;21.6;0.0
2024-04-18 00:28:00;0.0;21.0;0.0
2024-04-18 00:30:00;0.0;21.0;0.0
2024-04-18 00:32:00;0.0;20.4;0.0
2024-04-18 00:34:00;0.0;21.0;0.0
2024-04-18 00:36:00;0.0;20.4;0.0
2024-04-18 00:38:00;0.0;19.8;0.0
2024-04-18 00:40:00;0.0;19.8;0.0
2024-04-18 00:42:00;0.0;19.2;0.0
2024-04-18 00:44:00;0.0;19.2;0.0
2024-04-18 00:46:00;0.0;18.6;0.0
2024-04-18 00:48:00;0.0;18.6;0.0
2024-04-18 00:50:00;0.0;18.6;0.0
2024-04-18 00:52:00;0.0;18.0;0.0
2024-04-18 00:54:00;0.0;18.0;0.0
2024-04-18 00:56:00;0.0;17.4;0.0
2024-04-18 00:58:00;0.0;17.4;0.0
2024-04-18 01:00:00;0.0;17.4;0.0
2024-04-18 01:02:00;0.0;16.8;0.0
2024-04-18 01:04:00;0.0;16.8;0.0
2024-04-18 01:06:00;0.0;16.8;0.0
2024-04-18 01:08:00;0.0;16.2;0.0
2024-04-18 01:10:00;0.0;16.2;0.0
2024-04-18 01:12:00;0.0;15.6;0.0
2024-04-18 01:14:00;0.0;16.2;0.0
2024-04-18 01:16:00;0.0;15.6;0.0
2024-04-18 01:18:00;0.0;15.6;0.0
2024-04-18 01:20:00;0.0;15.0;0.0
2024-04-18 01:22:00;0.0;15.6;0.0
2024-04-18 01:24:00;0.0;15.0;0.0
2024-04-18 01:26:00;0.0;15.0;0.0
2024-04-18 01:28:00;0.0;14.4;0.0
2024-04-18 01:30:00;0.0;15.0;0.0
2024-04-18 01:32:00;0.0;13.8;0.0
2024-04-18 01:34:00;0.0;14.4;0.0
2024-04-18 01:36:00;0.0;14.4;0.0
2024-04-18 01:38:00;0.0;13.8;0.0
2024-04-18 01:40:00;0.0;13.8;0.0
2024-04-18 01:42:00;0.0;13.2;0.0
2024-04-18 01:44:00;0.0;13.8;0.0
2024-04-18 01:46:00;0.0;13.2;0.0
2024-04-18 01:48:00;0.0;13.2;0.0
2024-04-18 01:50:00;0.0;13.2;0.0
2024-04-18 01:52:00;0.0;13.2;0.0
2024-04-18 01:54:00;0.0;12.6;0.0
2024-04-18 01:56:00;0.0;13.2;0.0
2024-04-18 01:58:00;0.0;12.6;0.0
2024-04-18 02:00:00;0.0;12.6;0.0
2024-04-18 02:02:00;0.0;12.0;0.0
2024-04-18 02:04:00;0.0;12.6;0.0
2024-04-18 02:06:00;0.0;12.0;0.0
2024-04-18 02:08:00;0.0;12.6;0.0
2024-04-18 02:10:00;0.0;12.0;0.0
2024-04-18 02:12:00;0.0;12.0;0.0
2024-04-18 02:14:00;0.0;12.0;0.0
2024-04-18 02:16:00;0.0;11.4;0.0
2024-04-18 02:18:00;0.0;12.0;0.0
2024-04-18 02:20:00;0.0;11.4;0.0
2024-04-18 02:22:00;0.0;11.4;0.0
2024-04-18 02:24:00;0.0;11.4;0.0
2024-04-18 02:26:00;0.0;11.4;0.0
2024-04-18 02:28:00;0.0;11.4;0.0
2024-04-18 02:30:00;0.0;10.8;0.0
2024-04-18 02:32:00;0.0;10.8;0.0
2024-04-18 02:34:00;0.0;10.8;0.0
2024-04-18 02:36:00;0.0;11.4;0.0
2024-04-18 02:38:00;0.0;10.2;0.0
2024-04-18 02:40:00;0.0;10.8;0.0
2024-04-18 02:42:00;0.0;10.8;0.0
2024-04-18 02:44:00;0.0;10.2;0.0
2024-04-18 02:46:00;0.0;10.8;0.0
2024-04-18 02:48:00;0.0;10.2;0.0
2024-04-18 02:50:00;0.0;10.2;0.0
2024-04-18 02:52:00;0.0;10.2;0.0
2024-04-18 02:54:00;0.0;10.2;0.0
2024-04-18 02:56:00;0.0;10.2;0.0
2024-04-18 02:58:00;0.0;10.2;0.0
2024-04-18 03:00:00;0.0;10.2;0.0
2024-04-18 03:02:00;0.0;9.6;0.0
2024-04-18 03:04:00;0.0;9.6;0.0
2024-04-18 03:06:00;0.0;10.2;0.0
2024-04-18 03:08:00;0.0;9.6;0.0
2024-04-18 03:10:00;0.0;9.6;0.0
2024-04-18 03:12:00;0.0;9.6;0.0
2024-04-18 03:14:00;0.0;9.6;0.0
2024-04-18 03:16:00;0.0;9.6;0.0
2024-04-18 03:18:00;0.0;9.6;0.0
2024-04-18 03:20:00;0.0;9.0;0.0
2024-04-18 03:22:00;0.0;9.6;0.0
2024-04-18 03:24:00;0.0;9.0;0.0
2024-04-18 03:26:00;0.0;9.6;0.0
2024-04-18 03:28:00;0.0;9.0;0.0
2024-04-18 03:30:00;0.0;9.0;0.0
2024-04-18 03:32:00;0.0;9.0;0.0
2024-04-18 03:34:00;0.0;9.0;0.0
2024-04-18 03:36:00;0.0;9.0;0.0
2024-04-18 03:38:00;0.0;9.0;0.0
2024-04-18 03:40:00;0.0;8.4;0.0
2024-04-18 03:42:00;0.0;9.0;0.0
2024-04-18 03:44:00;0.0;8.4;0.0
2024-04-18 03:46:00;0.0;9.0;0.0
2024-04-18 03:48:00;0.0;8.4;0.0
2024-04-18 03:50:00;0.0;9.0;0.0
2024-04-18 03:52:00;0.0;8.4;0.0
2024-04-18 03:54:00;0.0;8.4;0.0
2024-04-18 03:56:00;0.0;8.4;0.0
2024-04-18 03:58:00;0.0;8.4;0.0
2024-04-18 04:00:00;0.0;8.4;0.0
2024-04-18 04:02:00;0.0;8.4;0.0
2024-04-18 04:04:00;0.0;8.4;0.0
2024-04-18 04:06:00;0.0;8.4;0.0
2024-04-18 04:08:00;0.0;7.8;0.0
2024-04-18 04:10:00;0.0;8.4;0.0
2024-04-18 04:12:00;0.0;8.4;0.0
2024-04-18 04:14:00;0.0;7.8;0.0
2024-04-18 04:16:00;0.0;8.4;0.0
2024-04-18 04:18:00;0.0;7.8;0.0
2024-04-18 04:20:00;0.0;7.8;0.0
2024-04-18 04:22:00;0.0;8.4;0.0
2024-04-18 04:24:00;0.0;7.8;0.0
2024-04-18 04:26:00;0.0;7.8;0.0
2024-04-18 04:28:00;0.0;7.8;0.0
2024-04-18 04:30:00;0.0;7.8;0.0
2024-04-18 04:32:00;0.0;7.8;0.0
2024-04-18 04:34:00;0.0;7.8;0.0
2024-04-18 04:36:00;0.0;7.8;0.0
2024-04-18 04:38:00;0.0;7.2;0.0
2024-04-18 04:40:00;0.0;7.8;0.0
2024-04-18 04:42:00;0.0;7.2;0.0
2024-04-18 04:44:00;0.0;7.8;0.0
2024-04-18 04:46:00;0.0;7.2;0.0
2024-04-18 04:48:00;0.0;7.8;0.0
2024-04-18 04:50:00;0.0;7.2;0.0
2024-04-18 04:52:00;0.0;7.2;0.0
2024-04-18 04:54:00;0.0;7.2;0.0
2024-04-18 04:56:00;0.0;7.8;0.0
2024-04-18 04:58:00;0.0;7.2;0.0
2024-04-18 05:00:00;0.0;7.2;0.0
2024-04-18 05:02:00;0.0;7.2;0.0
2024-04-18 05:04:00;0.0;7.2;0.0
2024-04-18 05:06:00;0.0;7.2;0.0
2024-04-18 05:08:00;0.0;7.2;0.0
2024-04-18 05:10:00;0.0;6.6;0.0
2024-04-18 05:12:00;0.0;7.2;0.0
2024-04-18 05:14:00;0.0;7.2;0.0
2024-04-18 05:16:00;0.0;7.2;0.0
2024-04-18 05:18:00;0.0;6.6;0.0
2024-04-18 05:20:00;0.0;7.2;0.0
2024-04-18 05:22:00;0.0;6.6;0.0
2024-04-18 05:24:00;0.0;7.2;0.0
2024-04-18 05:26:00;0.0;6.6;0.0
2024-04-18 05:28:00;0.0;7.2;0.0
2024-04-18 05:30:00;0.0;6.6;0.0
2024-04-18 05:32:00;0.0;6.6;0.0
2024-04-18 05:34:00;0.0;6.6;0.0
2024-04-18 05:36:00;0.0;7.2;0.0
2024-04-18 05:38:00;0.0;6.6;0.0
2024-04-18 05:40:00;0.0;6.6;0.0
2024-04-18 05:42:00;0.0;6.6;0.0
2024-04-18 05:44:00;0.0;6.6;0.0
2024-04-18 05:46:00;0.0;6.6;0.0
2024-04-18 05:48:00;0.0;6.6;0.0
2024-04-18 05:50:00;0.0;6.6;0.0
2024-04-18 05:52:00;0.0;6.6;0.0
2024-04-18 05:54:00;0.0;6.6;0.0
2024-04-18 05:56:00;0.0;6.0;0.0
2024-04-18 05:58:00;0.0;6.6;0.0
2024-04-18 06:00:00;0.0;6.6;113.9
2024-04-18 06:02:00;0.0;6.0;0.0
2024-04-18 06:04:00;0.0;6.6;0.0
2024-04-18 06:06:00;0.0;6.0;0.0
2024-04-18 06:08:00;0.0;6.6;0.0
2024-04-18 06:10:00;0.0;6.0;0.0
2024-04-18 06:12:00;0.0;6.6;0.0
2024-04-18 06:14:00;0.0;6.0;0.0
2024-04-18 06:16:00;0.0;6.6;0.0
2024-04-18 06:18:00;0.0;6.0;0.0
2024-04-18 06:20:00;0.0;6.0;0.0
2024-04-18 06:22:00;0.0;6.6;0.0
2024-04-18 06:24:00;0.0;6.0;0.0
2024-04-18 06:26:00;0.0;6.0;0.0
2024-04-18 06:28:00;0.0;6.0;0.0
2024-04-18 06:30:00;0.0;6.0;0.0
2024-04-18 06:32:00;0.0;6.0;0.0
2024-04-18 06:34:00;0.0;6.6;0.0
2024-04-18 06:36:00;0.0;6.0;0.0
2024-04-18 06:38:00;0.0;6.0;0.0
2024-04-18 06:40:00;0.0;6.0;0.0
2024-04-18 06:42:00;0.0;5.4;0.0
2024-04-18 06:44:00;0.0;6.0;0.0
2024-04-18 06:46:00;0.0;6.0;0.0
2024-04-18 06:48:00;0.0;6.0;0.0
2024-04-18 06:50:00;0.0;6.0;0.0
2024-04-18 06:52:00;0.0;6.0;0.0
2024-04-18 06:54:00;0.0;6.0;0.0
2024-04-18 06:56:00;0.0;5.4;0.0
2024-04-18 06:58:00;0.0;6.0;0.0
2024-04-18 07:00:00;0.0;6.0;0.0
2024-04-18 07:02:00;0.0;5.4;0.0
2024-04-18 07:04:00;0.0;6.0;0.0
2024-04-18 07:06:00;0.0;5.4;0.0
2024-04-18 07:08:00;0.0;6.0;0.0
2024-04-18 07:10:00;0.0;5.4;0.0
2024-04-18 07:12:00;0.249;6.0;0.0
2024-04-18 07:14:00;0.249;5.4;0.0
2024-04-18 07:16:00;0.249;5.4;0.0
2024-04-18 07:18:00;0.0;6.0;0.0
2024-04-18 07:20:00;0.249;5.4;0.0
2024-04-18 07:22:00;0.0;6.0;177.2
2024-04-18 07:24:00;0.249;5.4;192.8
2024-04-18 07:26:00;0.249;5.4;227.3
2024-04-18 07:28:00;0.249;5.4;298.8
2024-04-18 07:30:00;0.249;5.4;475.9
2024-04-18 07:32:00;0.0;6.0;574.3
2024-04-18 07:34:00;0.249;7.2;558.1
2024-04-18 07:36:00;0.0;10.2;476.3
2024-04-18 07:38:00;0.249;13.2;418.6
2024-04-18 07:40:00;0.249;16.8;423.9
2024-04-18 07:42:00;0.0;20.4;470.1
2024-04-18 07:44:00;0.249;28.2;448.5
2024-04-18 07:46:00;0.0;48.0;356.3
2024-04-18 07:48:00;0.0;78.0;277.3
2024-04-18 07:50:00;0.0;119.3;154.8
2024-04-18 07:52:00;0.249;141.3;58.8
2024-04-18 07:54:00;0.0;152.9;0.0
2024-04-18 07:56:00;0.0;157.1;0.0
2024-04-18 07:58:00;0.0;154.3;0.0
2024-04-18 08:00:00;0.0;148.4;0.0
2024-04-18 08:02:00;0.0;138.9;0.0
2024-04-18 08:04:00;0.0;129.4;0.0
2024-04-18 08:06:00;0.0;119.5;0.0
2024-04-18 08:08:00;0.0;110.0;0.0
2024-04-18 08:10:00;0.0;102.9;0.0
2024-04-18 08:12:00;0.0;96.0;0.0
2024-04-18 08:14:00;0.0;84.0;0.0
2024-04-18 08:16:00;0.0;78.6;0.0
2024-04-18 08:18:00;0.0;73.2;0.0
2024-04-18 08:20:00;0.0;69.0;0.0
2024-04-18 08:22:00;0.0;65.4;0.0
2024-04-18 08:24:00;0.0;61.8;0.0
2024-04-18 08:26:00;0.0;58.2;0.0
2024-04-18 08:28:00;0.0;55.2;0.0
2024-04-18 08:30:00;0.0;52.2;0.0
2024-04-18 08:32:00;0.0;50.4;0.0
2024-04-18 08:34:00;0.0;47.4;0.0
2024-04-18 08:36:00;0.0;46.2;0.0
2024-04-18 08:38:00;0.0;44.4;0.0
2024-04-18 08:40:00;0.0;43.2;0.0
2024-04-18 08:42:00;0.0;41.4;0.0
2024-04-18 08:44:00;0.0;40.2;0.0
2024-04-18 08:46:00;0.0;39.0;0.0
2024-04-18 08:48:00;0.0;37.2;0.0
2024-04-18 08:50:00;0.0;37.2;0.0
2024-04-18 08:52:00;0.0;35.4;0.0
2024-04-18 08:54:00;0.0;35.4;0.0
2024-04-18 08:56:00;0.0;33.6;0.0
2024-04-18 08:58:00;0.0;33.0;0.0
2024-04-18 09:00:00;0.0;32.4;0.0
2024-04-18 09:02:00;0.0;31.2;0.0
2024-04-18 09:04:00;0.0;31.2;0.0
2024-04-18 09:06:00;0.0;30.0;0.0
2024-04-18 09:08:00;0.0;30.0;0.0
2024-04-18 09:10:00;0.0;28.8;0.0
2024-04-18 09:12:00;0.0;28.8;0.0
2024-04-18 09:14:00;0.0;27.6;0.0
2024-04-18 09:16:00;0.0;27.6;0.0
2024-04-18 09:18:00;0.0;26.4;0.0
2024-04-18 09:20:00;0.0;27.0;0.0
2024-04-18 09:22:00;0.0;25.8;0.0
2024-04-18 09:24:00;0.0;25.8;0.0
2024-04-18 09:26:00;0.0;25.2;0.0
2024-04-18 09:28:00;0.0;24.6;0.0
2024-04-18 09:30:00;0.0;24.6;0.0
2024-04-18 09:32:00;0.0;24.0;0.0
2024-04-18 09:34:00;0.0;23.4;0.0
2024-04-18 09:36:00;0.0;24.0;0.0
2024-04-18 09:38:00;0.0;22.8;0.0
2024-04-18 09:40:00;0.0;22.8;0.0
2024-04-18 09:42:00;0.0;22.8;0.0
2024-04-18 09:44:00;0.0;22.2;0.0
2024-04-18 09:46:00;0.0;21.6;0.0
2024-04-18 09:48:00;0.0;21.6;0.0
2024-04-18 09:50:00;0.0;21.6;0.0
2024-04-18 09:52:00;0.0;21.0;0.0
2024-04-18 09:54:00;0.0;21.0;0.0
2024-04-18 09:56:00;0.0;21.0;0.0
2024-04-18 09:58:00;0.0;20.4;0.0
2024-04-18 10:00:00;0.0;20.4;0.0
2024-04-18 10:02:00;0.0;19.8;0.0
2024-04-18 10:04:00;0.0;19.8;0.0
2024-04-18 10:06:00;0.0;19.8;0.0
2024-04-18 10:08:00;0.0;19.2;0.0
2024-04-18 10:10:00;0.0;19.2;0.0
2024-04-18 10:12:00;0.0;19.2;0.0
2024-04-18 10:14:00;0.0;18.6;0.0
2024-04-18 10:16:00;0.0;18.6;0.0
2024-04-18 10:18:00;0.0;18.6;0.0
2024-04-18 10:20:00;0.0;18.0;0.0
2024-04-18 10:22:00;0.0;18.0;0.0
2024-04-18 10:24:00;0.0;18.0;0.0
2024-04-18 10:26:00;0.0;18.0;0.0
2024-04-18 10:28:00;0.0;17.4;0.0
2024-04-18 10:30:00;0.0;17.4;0.0
2024-04-18 10:32:00;0.0;16.8;0.0
2024-04-18 10:34:00;0.0;16.8;0.0
2024-04-18 10:36:00;0.0;16.2;0.0
2024-04-18 10:38:00;0.0;16.8;0.0
2024-04-18 10:40:00;0.0;15.0;0.0
2024-04-18 10:42:00;0.0;15.6;0.0
2024-04-18 10:44:00;0.0;15.6;0.0
2024-04-18 10:46:00;0.0;15.6;0.0
2024-04-18 10:48:00;0.0;16.2;0.0
2024-04-18 10:50:00;0.0;17.4;0.0
2024-04-18 10:52:00;0.0;16.8;0.0
2024-04-18 10:54:00;0.0;16.8;0.0
2024-04-18 10:56:00;0.0;16.2;0.0
2024-04-18 10:58:00;0.0;15.6;0.0
2024-04-18 11:00:00;0.0;15.6;0.0
2024-04-18 11:02:00;0.0;15.6;0.0
2024-04-18 11:04:00;0.0;15.0;0.0
2024-04-18 11:06:00;0.0;15.0;0.0
2024-04-18 11:08:00;0.0;15.0;0.0
2024-04-18 11:10:00;0.0;15.0;0.0
2024-04-18 11:12:00;0.0;14.4;0.0
2024-04-18 11:14:00;0.0;14.4;0.0
2024-04-18 11:16:00;0.0;15.0;0.0
2024-04-18 11:18:00;0.0;13.8;0.0
2024-04-18 11:20:00;0.0;14.4;0.0
2024-04-18 11:22:00;0.0;13.8;0.0
2024-04-18 11:24:00;0.0;14.4;0.0
2024-04-18 11:26:00;0.0;13.8;0.0
2024-04-18 11:28:00;0.0;13.8;0.0
2024-04-18 11:30:00;0.0;13.8;0.0
2024-04-18 11:32:00;0.0;13.8;0.0
2024-04-18 11:34:00;0.0;13.8;0.0
2024-04-18 11:36:00;0.0;13.2;0.0
2024-04-18 11:38:00;0.0;13.2;0.0
2024-04-18 11:40:00;0.0;13.2;0.0
2024-04-18 11:42:00;0.0;13.2;0.0
2024-04-18 11:44:00;0.0;13.2;0.0
2024-04-18 11:46:00;0.0;13.2;0.0
2024-04-18 11:48:00;0.0;13.2;0.0
2024-04-18 11:50:00;0.0;12.6;0.0
2024-04-18 11:52:00;0.0;13.2;0.0
2024-04-18 11:54:00;0.0;12.6;0.0
2024-04-18 11:56:00;0.0;12.6;0.0
2024-04-18 11:58:00;0.0;12.6;0.0
2024-04-18 12:00:00;0.0;12.6;0.0
2024-04-18 12:02:00;0.0;12.0;0.0
2024-04-18 12:04:00;0.0;12.6;0.0
2024-04-18 12:06:00;0.0;12.0;0.0
2024-04-18 12:08:00;0.0;12.0;0.0
2024-04-18 12:10:00;0.0;12.6;0.0
2024-04-18 12:12:00;0.0;11.4;0.0
2024-04-18 12:14:00;0.0;12.0;0.0
2024-04-18 12:16:00;0.0;12.0;0.0
2024-04-18 12:18:00;0.0;12.0;0.0
2024-04-18 12:20:00;0.0;11.4;0.0
2024-04-18 12:22:00;0.0;12.0;0.0
2024-04-18 12:24:00;0.0;11.4;0.0
2024-04-18 12:26:00;0.0;12.0;0.0
2024-04-18 12:28:00;0.0;11.4;0.0
2024-04-18 12:30:00;0.0;11.4;0.0
2024-04-18 12:32:00;0.0;11.4;0.0
2024-04-18 12:34:00;0.0;11.4;0.0
2024-04-18 12:36:00;0.0;11.4;0.0
2024-04-18 12:38:00;0.0;11.4;0.0
2024-04-18 12:40:00;0.0;11.4;0.0
2024-04-18 12:42:00;0.0;10.8;0.0
2024-04-18 12:44:00;0.0;11.4;0.0
2024-04-18 12:46:00;0.0;10.8;0.0
2024-04-18 12:48:00;0.0;10.8;0.0
2024-04-18 12:50:00;0.0;10.8;0.0
2024-04-18 12:52:00;0.0;10.8;0.0
2024-04-18 12:54:00;0.0;10.8;0.0
2024-04-18 12:56:00;0.0;10.8;0.0
2024-04-18 12:58:00;0.0;10.8;0.0
2024-04-18 13:00:00;0.0;10.8;0.0
2024-04-18 13:02:00;0.0;10.2;0.0
2024-04-18 13:04:00;0.0;10.8;0.0
2024-04-18 13:06:00;0.0;10.8;0.0
2024-04-18 13:08:00;0.0;10.2;0.0
2024-04-18 13:10:00;0.0;10.8;0.0
2024-04-18 13:12:00;0.0;10.2;0.0
2024-04-18 13:14:00;0.0;10.8;0.0
2024-04-18 13:16:00;0.0;10.2;0.0
2024-04-18 13:18:00;0.0;10.2;0.0
2024-04-18 13:20:00;0.0;9.6;0.0
2024-04-18 13:22:00;0.0;10.2;0.0
2024-04-18 13:24:00;0.0;10.2;0.0
2024-04-18 13:26:00;0.0;10.2;0.0
2024-04-18 13:28:00;0.0;9.6;0.0
2024-04-18 13:30:00;0.0;10.2;0.0
2024-04-18 13:32:00;0.0;9.6;0.0
2024-04-18 13:34:00;0.0;9.6;0.0
2024-04-18 13:36:00;0.0;9.6;0.0
2024-04-18 13:38:00;0.0;10.2;0.0
2024-04-18 13:40:00;0.0;9.6;0.0
2024-04-18 13:42:00;0.0;9.6;0.0
2024-04-18 13:44:00;0.0;9.6;0.0
2024-04-18 13:46:00;0.0;9.6;0.0
2024-04-18 13:48:00;0.0;9.6;0.0
2024-04-18 13:50:00;0.0;9.0;0.0
2024-04-18 13:52:00;0.0;9.6;0.0
2024-04-18 13:54:00;0.0;9.0;0.0
2024-04-18 13:56:00;0.0;9.6;0.0
2024-04-18 13:58:00;0.0;9.0;0.0
2024-04-18 14:00:00;0.0;9.0;0.0
2024-04-18 14:02:00;0.0;9.0;0.0
2024-04-18 14:04:00;0.0;9.0;0.0
2024-04-18 14:06:00;0.249;9.0;0.0
2024-04-18 14:08:00;0.0;9.0;0.0
2024-04-18 14:10:00;0.0;9.0;0.0
2024-04-18 14:12:00;0.0;9.6;0.0
2024-04-18 14:14:00;0.0;8.4;0.0
2024-04-18 14:16:00;0.0;9.0;0.0
2024-04-18 14:18:00;0.0;9.0;0.0
2024-04-18 14:20:00;0.0;9.0;0.0
2024-04-18 14:22:00;0.0;9.0;0.0
2024-04-18 14:24:00;0.0;8.4;0.0
2024-04-18 14:26:00;0.0;9.0;0.0
2024-04-18 14:28:00;0.0;9.0;0.0
2024-04-18 14:30:00;0.0;8.4;0.0
2024-04-18 14:32:00;0.0;9.0;0.0
2024-04-18 14:34:00;0.0;9.0;0.0
2024-04-18 14:36:00;0.0;8.4;0.0
2024-04-18 14:38:00;0.0;8.4;0.0
2024-04-18 14:40:00;0.0;8.4;0.0
