dateP;dateQ;P_mm;Q_ls;year
2020-02-27 06:14:00;2020-02-27 06:14:00;0.0;;2020
2020-02-27 06:19:00;2020-02-27 06:19:00;0.0;14.4499458763621;2020
2020-02-27 06:24:00;2020-02-27 06:24:00;0.0;;2020
2020-02-27 06:29:00;2020-02-27 06:29:00;0.0;;2020
2020-02-27 06:34:00;2020-02-27 06:34:00;0.0;14.2674297923468;2020
2020-02-27 06:39:00;2020-02-27 06:39:00;0.0;;2020
2020-02-27 06:44:00;2020-02-27 06:44:00;0.0;;2020
2020-02-27 06:49:00;2020-02-27 06:49:00;0.0;14.4499458763621;2020
2020-02-27 06:54:00;2020-02-27 06:54:00;0.0;;2020
2020-02-27 06:59:00;2020-02-27 06:59:00;0.0;;2020
2020-02-27 07:04:00;2020-02-27 07:04:00;0.0;14.6340225082396;2020
2020-02-27 07:09:00;2020-02-27 07:09:00;0.0;;2020
2020-02-27 07:14:00;2020-02-27 07:14:00;0.0;;2020
2020-02-27 07:19:00;2020-02-27 07:19:00;0.0;14.4499458763621;2020
2020-02-27 07:24:00;2020-02-27 07:24:00;0.0;;2020
2020-02-27 07:29:00;2020-02-27 07:29:00;0.0;;2020
2020-02-27 07:34:00;2020-02-27 07:34:00;0.0;14.4499458763621;2020
2020-02-27 07:39:00;2020-02-27 07:39:00;0.0;;2020
2020-02-27 07:44:00;2020-02-27 07:44:00;0.0;;2020
2020-02-27 07:49:00;2020-02-27 07:49:00;0.0;14.2674297923468;2020
2020-02-27 07:54:00;2020-02-27 07:54:00;0.0;;2020
2020-02-27 07:59:00;2020-02-27 07:59:00;0.0;;2020
2020-02-27 08:04:00;2020-02-27 08:04:00;0.0;14.2674297923468;2020
2020-02-27 08:09:00;2020-02-27 08:09:00;0.0;;2020
2020-02-27 08:14:00;2020-02-27 08:14:00;0.0;;2020
2020-02-27 08:19:00;2020-02-27 08:19:00;0.0;14.4499458763621;2020
2020-02-27 08:24:00;2020-02-27 08:24:00;0.0;;2020
2020-02-27 08:29:00;2020-02-27 08:29:00;0.0;;2020
2020-02-27 08:34:00;2020-02-27 08:34:00;0.0;13.907053834152;2020
2020-02-27 08:39:00;2020-02-27 08:39:00;0.0;;2020
2020-02-27 08:44:00;2020-02-27 08:44:00;0.0;;2020
2020-02-27 08:49:00;2020-02-27 08:49:00;0.0;14.2674297923468;2020
2020-02-27 08:54:00;2020-02-27 08:54:00;0.0;;2020
2020-02-27 08:59:00;2020-02-27 08:59:00;0.0;;2020
2020-02-27 09:04:00;2020-02-27 09:04:00;0.0;14.0864678977559;2020
2020-02-27 09:09:00;2020-02-27 09:09:00;0.0;;2020
2020-02-27 09:14:00;2020-02-27 09:14:00;0.0;;2020
2020-02-27 09:19:00;2020-02-27 09:19:00;0.0;13.907053834152;2020
2020-02-27 09:24:00;2020-02-27 09:24:00;0.0;;2020
2020-02-27 09:29:00;2020-02-27 09:29:00;0.0;;2020
2020-02-27 09:34:00;2020-02-27 09:34:00;0.0;14.0864678977559;2020
2020-02-27 09:39:00;2020-02-27 09:39:00;0.0;;2020
2020-02-27 09:44:00;2020-02-27 09:44:00;0.0;;2020
2020-02-27 09:49:00;2020-02-27 09:49:00;0.0;14.2674297923468;2020
2020-02-27 09:54:00;2020-02-27 09:54:00;0.0;;2020
2020-02-27 09:59:00;2020-02-27 09:59:00;0.0;;2020
2020-02-27 10:04:00;2020-02-27 10:04:00;0.0;14.0864678977559;2020
2020-02-27 10:09:00;2020-02-27 10:09:00;0.0;;2020
2020-02-27 10:14:00;2020-02-27 10:14:00;0.0;;2020
2020-02-27 10:19:00;2020-02-27 10:19:00;0.0;14.4499458763621;2020
2020-02-27 10:24:00;2020-02-27 10:24:00;0.0;;2020
2020-02-27 10:29:00;2020-02-27 10:29:00;0.0;;2020
2020-02-27 10:34:00;2020-02-27 10:34:00;0.0;14.2674297923468;2020
2020-02-27 10:39:00;2020-02-27 10:39:00;0.0;;2020
2020-02-27 10:44:00;2020-02-27 10:44:00;0.0;;2020
2020-02-27 10:49:00;2020-02-27 10:49:00;0.0;14.0864678977559;2020
2020-02-27 10:54:00;2020-02-27 10:54:00;0.0;;2020
2020-02-27 10:59:00;2020-02-27 10:59:00;0.0;;2020
2020-02-27 11:04:00;2020-02-27 11:04:00;0.0;14.6340225082396;2020
2020-02-27 11:09:00;2020-02-27 11:09:00;0.0;;2020
2020-02-27 11:14:00;2020-02-27 11:14:00;0.0;;2020
2020-02-27 11:19:00;2020-02-27 11:19:00;0.0;14.2674297923468;2020
2020-02-27 11:24:00;2020-02-27 11:24:00;0.0;;2020
2020-02-27 11:29:00;2020-02-27 11:29:00;0.0;;2020
2020-02-27 11:34:00;2020-02-27 11:34:00;0.0;14.4499458763621;2020
2020-02-27 11:39:00;2020-02-27 11:39:00;0.0;;2020
2020-02-27 11:44:00;2020-02-27 11:44:00;0.0;;2020
2020-02-27 11:49:00;2020-02-27 11:49:00;0.0;14.4499458763621;2020
2020-02-27 11:54:00;2020-02-27 11:54:00;0.0;;2020
2020-02-27 11:59:00;2020-02-27 11:59:00;0.0;;2020
2020-02-27 12:04:00;2020-02-27 12:04:00;0.0;15.0068828493316;2020
2020-02-27 12:09:00;2020-02-27 12:09:00;0.0;;2020
2020-02-27 12:14:13;2020-02-27 12:14:00;0.5;;2020
2020-02-27 12:19:00;2020-02-27 12:19:00;0.0;15.1956792754213;2020
2020-02-27 12:24:00;2020-02-27 12:24:00;0.5;;2020
2020-02-27 12:29:00;2020-02-27 12:29:00;0.0;;2020
2020-02-27 12:34:00;2020-02-27 12:34:00;0.5;14.6340225082396;2020
2020-02-27 12:39:00;2020-02-27 12:39:00;0.0;;2020
2020-02-27 12:44:00;2020-02-27 12:44:00;0.5;;2020
2020-02-27 12:49:00;2020-02-27 12:49:00;0.5;15.0068828493316;2020
2020-02-27 12:54:00;2020-02-27 12:54:00;0.0;;2020
2020-02-27 12:59:00;2020-02-27 12:59:00;0.5;;2020
2020-02-27 13:04:00;2020-02-27 13:04:00;0.0;14.8196660464169;2020
2020-02-27 13:09:00;2020-02-27 13:09:00;0.5;;2020
2020-02-27 13:14:00;2020-02-27 13:14:00;0.0;;2020
2020-02-27 13:19:00;2020-02-27 13:19:00;0.0;15.5780364308765;2020
2020-02-27 13:24:00;2020-02-27 13:24:00;0.5;;2020
2020-02-27 13:29:00;2020-02-27 13:29:00;0.0;;2020
2020-02-27 13:34:00;2020-02-27 13:34:00;0.5;15.3860616831237;2020
2020-02-27 13:39:00;2020-02-27 13:39:00;0.0;;2020
2020-02-27 13:44:00;2020-02-27 13:44:00;0.5;;2020
2020-02-27 13:49:00;2020-02-27 13:49:00;0.0;15.0068828493316;2020
2020-02-27 13:54:00;2020-02-27 13:54:00;0.5;;2020
2020-02-27 13:59:00;2020-02-27 13:59:00;0.0;;2020
2020-02-27 14:04:00;2020-02-27 14:04:00;0.5;15.7716098771171;2020
2020-02-27 14:09:00;2020-02-27 14:09:00;0.0;;2020
2020-02-27 14:14:00;2020-02-27 14:14:00;0.5;;2020
2020-02-27 14:19:45;2020-02-27 14:19:00;0.5;15.3860616831237;2020
2020-02-27 14:24:00;2020-02-27 14:24:00;0.0;;2020
2020-02-27 14:29:00;2020-02-27 14:29:00;0.5;;2020
2020-02-27 14:34:00;2020-02-27 14:34:00;0.0;16.083637037912;2020
2020-02-27 14:39:00;2020-02-27 14:39:00;0.0;;2020
2020-02-27 14:44:00;2020-02-27 14:44:00;0.0;;2020
2020-02-27 14:49:00;2020-02-27 14:49:00;0.5;16.42777460184;2020
2020-02-27 14:54:00;2020-02-27 14:54:00;0.0;;2020
2020-02-27 14:59:14;2020-02-27 14:59:00;0.5;;2020
2020-02-27 15:04:00;2020-02-27 15:04:00;0.0;17.3202448048514;2020
2020-02-27 15:09:00;2020-02-27 15:09:00;0.0;;2020
2020-02-27 15:14:00;2020-02-27 15:14:00;0.5;;2020
2020-02-27 15:19:00;2020-02-27 15:19:00;0.5;17.6900895977665;2020
2020-02-27 15:24:00;2020-02-27 15:24:00;0.0;;2020
2020-02-27 15:29:00;2020-02-27 15:29:00;0.5;;2020
2020-02-27 15:34:00;2020-02-27 15:34:00;0.0;18.6468640074436;2020
2020-02-27 15:39:33;2020-02-27 15:39:00;0.5;;2020
2020-02-27 15:44:00;2020-02-27 15:44:00;0.0;;2020
2020-02-27 15:49:00;2020-02-27 15:49:00;0.5;20.273348111589;2020
2020-02-27 15:54:00;2020-02-27 15:54:00;0.0;;2020
2020-02-27 15:59:00;2020-02-27 15:59:00;0.5;;2020
2020-02-27 16:04:31;2020-02-27 16:04:00;0.5;20.6983771648664;2020
2020-02-27 16:09:00;2020-02-27 16:09:00;0.0;;2020
2020-02-27 16:14:00;2020-02-27 16:14:00;0.5;;2020
2020-02-27 16:19:00;2020-02-27 16:19:00;0.0;23.6407647691191;2020
2020-02-27 16:24:00;2020-02-27 16:24:00;0.5;;2020
2020-02-27 16:29:11;2020-02-27 16:29:00;1.0;;2020
2020-02-27 16:34:00;2020-02-27 16:34:00;1.0;24.6088425009847;2020
2020-02-27 16:39:00;2020-02-27 16:39:00;0.0;;2020
2020-02-27 16:44:00;2020-02-27 16:44:00;0.5;;2020
2020-02-27 16:49:00;2020-02-27 16:49:00;0.0;29.331170286756;2020
2020-02-27 16:54:00;2020-02-27 16:54:00;0.0;;2020
2020-02-27 16:59:00;2020-02-27 16:59:00;0.0;;2020
2020-02-27 17:04:00;2020-02-27 17:04:00;0.0;28.7768617564749;2020
2020-02-27 17:09:00;2020-02-27 17:09:00;0.0;;2020
2020-02-27 17:14:00;2020-02-27 17:14:00;0.0;;2020
2020-02-27 17:19:00;2020-02-27 17:19:00;0.0;31.0385606768831;2020
2020-02-27 17:24:00;2020-02-27 17:24:00;0.0;;2020
2020-02-27 17:29:00;2020-02-27 17:29:00;0.0;;2020
2020-02-27 17:34:00;2020-02-27 17:34:00;0.0;32.5123704021228;2020
2020-02-27 17:39:00;2020-02-27 17:39:00;0.0;;2020
2020-02-27 17:44:00;2020-02-27 17:44:00;0.0;;2020
2020-02-27 17:49:00;2020-02-27 17:49:00;0.0;34.9669699726692;2020
2020-02-27 17:54:00;2020-02-27 17:54:00;0.0;;2020
2020-02-27 17:59:00;2020-02-27 17:59:00;0.0;;2020
2020-02-27 18:04:00;2020-02-27 18:04:00;0.0;35.2821524219932;2020
2020-02-27 18:09:00;2020-02-27 18:09:00;0.0;;2020
